Index,Ground truth_smote,knn_smote,rf_smote,svm_smote
0,Murder,False,True,True
1,Murder,False,False,False
2,Kidnap,False,True,True
3,Murder,False,False,False
4,Murder,False,True,True
5,Murder,False,False,False
6,Murder,False,False,True
7,Murder,False,False,False
8,Kidnap,False,True,True
9,Murder,False,True,True
10,Gang Rape,False,True,True
11,Murder,False,False,False
12,Robbery,False,True,True
13,Murder,True,False,False
14,Murder,False,True,True
15,Violence Against Women,False,True,True
16,Murder,True,True,True
17,Murder,True,False,True
18,Murder,False,True,True
19,Violence Against Women,False,True,True
20,Murder,True,True,True
21,Murder,False,True,True
22,Murder,True,True,True
23,Murder,False,False,False
24,Violence Against Women,True,True,True
25,Robbery,False,True,True
26,Murder,False,False,True
27,Murder,True,True,True
28,Murder,False,True,False
29,Murder,True,True,True
30,Violence Against Women,False,True,True
31,Violence Against Women,False,True,True
32,Robbery,False,True,True
33,Violence Against Women,True,True,True
34,Murder,False,False,False
35,Murder,True,True,True
36,Murder,False,True,False
37,Murder,False,False,False
38,Murder,True,True,True
39,Gang Rape,False,False,False
40,Murder,False,False,False
41,Murder,False,False,False
42,Gang Rape,True,True,True
43,Murder,True,True,True
44,Robbery,False,True,True
45,Violence Against Women,True,True,True
46,Kidnap,False,True,True
47,Robbery,True,True,True
48,Murder,False,False,False
49,Gang Rape,False,False,False
50,Murder,False,False,True
51,Murder,False,True,True
52,Murder,False,False,False
53,Gang Rape,False,False,False
54,Kidnap,False,True,True
55,Kidnap,False,True,True
56,Murder,True,False,False
57,Murder,False,True,True
58,Murder,True,True,True
59,Robbery,True,True,True
60,Murder,False,False,True
61,Murder,True,False,True
62,Murder,False,True,True
63,Gang Rape,True,True,True
64,Murder,True,True,True
65,Murder,True,True,True
66,Murder,False,True,True
67,Robbery,True,True,True
68,Murder,False,True,True
69,Murder,False,True,True
70,Kidnap,False,True,True
71,Kidnap,True,True,True
72,Murder,False,True,True
73,Murder,False,True,True
74,Murder,True,True,True
75,Robbery,False,False,False
76,Robbery,False,True,True
77,Murder,True,True,True
78,Gang Rape,False,True,True
79,Murder,False,True,True
80,Murder,False,True,True
81,Murder,True,True,True
82,Murder,True,True,True
83,Gang Rape,False,True,True
84,Robbery,False,False,False
85,Murder,False,True,True
86,Murder,False,True,True
87,Murder,True,False,True
88,Murder,False,False,True
89,Robbery,False,False,True
90,Murder,True,True,True
91,Murder,False,True,True
92,Violence Against Women,False,False,False
93,Murder,False,False,False
94,Violence Against Women,False,True,False
95,Murder,True,True,True
96,Robbery,True,True,False
97,Violence Against Women,False,True,False
98,Murder,True,True,True
99,Murder,False,True,True
100,Robbery,False,True,True
101,Murder,False,False,True
102,Murder,True,True,True
103,Murder,False,True,True
104,Murder,True,True,True
105,Murder,True,True,True
106,Robbery,False,True,True
107,Gang Rape,True,True,True
108,Murder,False,True,True
109,Robbery,True,True,True
110,Murder,True,True,True
111,Murder,False,True,True
112,Murder,True,True,True
113,Murder,False,True,True
114,Murder,True,True,True
115,Murder,False,True,True
116,Murder,True,True,True
117,Murder,False,False,False
118,Murder,True,True,True
119,Gang Rape,False,False,False
120,Murder,True,True,True
121,Kidnap,False,True,True
122,Robbery,False,True,True
123,Murder,True,True,True
124,Murder,True,True,True
125,Murder,True,True,True
126,Murder,False,True,True
127,Gang Rape,True,True,True
128,Murder,False,True,True
129,Murder,False,True,True
130,Murder,False,False,False
131,Murder,False,True,True
132,Robbery,False,True,True
133,Murder,False,True,False
134,Murder,False,True,True
135,Murder,True,True,True
136,Murder,True,True,True
137,Murder,False,True,True
138,Murder,True,True,True
139,Murder,True,True,True
140,Murder,True,True,True
141,Gang Rape,False,True,True
142,Robbery,False,True,True
143,Murder,False,True,True
144,Murder,True,True,True
